target_id	length	eff_length	est_counts	tpm
SSTP_0000000100.1	285	120.991	9.1553	0.794743
SSTP_0000000200.1	653	479.635	0	0
SSTP_0000000300.1	1536	1362.63	132.492	1.02122
SSTP_0000000400.1	480	307.276	601.5	20.5596
SSTP_0000000500.1	4635	4461.63	23992	56.4782
SSTP_0000000600.1	687	513.635	1	0.0204481
SSTP_0000000700.1	300	134.387	0	0
SSTP_0000000800.1	1086	912.635	6	0.0690498
SSTP_0000000900.1	372	201.445	0	0
SSTP_0000001000.1	780	606.635	0	0
SSTP_0000001050.1	291	126.368	0	0
SSTP_0000001100.1	480	307.276	1	0.0341806
SSTP_0000001200.1	1257	1083.63	1	0.00969226
SSTP_0000001300.1	528	354.953	13	0.384664
SSTP_0000001400.1	249	89.9159	1	0.116808
SSTP_0000001425.1	297	131.761	0	0
SSTP_0000001450.1	246	87.4741	1	0.120068
SSTP_0000001475.1	435	262.829	1	0.0399609
SSTP_0000001500.1	315	147.887	1	0.0710197
SSTP_0000001600.1	1194	1020.63	38	0.39104
SSTP_0000001700.1	516	343.022	4	0.122475
SSTP_0000001750.1	270	108.007	4	0.38897
SSTP_0000001800.1	1464	1290.63	1624	13.2157
SSTP_0000001900.1	1818	1644.63	1272	8.12318
SSTP_0000002000.1	1212	1038.63	162	1.63818
SSTP_0000002100.1	1539	1365.63	197	1.51509
SSTP_0000002200.1	2877	2703.63	7916	30.7515
SSTP_0000002300.1	861	687.635	9136	139.542
SSTP_0000002400.1	1533	1359.63	228	1.76125
SSTP_0000002500.1	918	744.635	459	6.47407
SSTP_0000002600.1	783	609.635	173	2.98047
SSTP_0000002700.1	993	819.635	179	2.29372
SSTP_0000002800.1	660	486.635	66	1.42446
SSTP_0000002900.1	585	411.679	3227	82.3282
SSTP_0000002950.1	450	277.773	3.48825	0.131894
SSTP_0000003000.1	1263	1089.63	729	7.02675
SSTP_0000003100.1	1281	1107.63	383	3.6317
SSTP_0000003200.1	4065	3891.63	11744	31.6951
SSTP_0000003300.1	1254	1080.63	4648	45.1747
SSTP_0000003400.1	1422	1248.63	1084	9.11805
SSTP_0000003500.1	831	657.635	7328	117.033
SSTP_0000003600.1	861	687.635	4233	64.6545
SSTP_0000003700.1	2061	1887.63	12319	68.5434
SSTP_0000003800.1	1092	918.635	797	9.11221
SSTP_0000003900.1	5655	5481.63	10625	20.3576
SSTP_0000004000.1	1152	978.635	5	0.0536608
SSTP_0000004100.1	222	68.5445	47	7.20167
SSTP_0000004200.1	393	221.61	45	2.13271
SSTP_0000004300.1	681	507.635	364	7.5311
SSTP_0000004400.1	873	699.635	253	3.79802
SSTP_0000004500.1	609	435.679	291	7.01512
SSTP_0000004600.1	1698	1524.63	1	0.00688878
SSTP_0000004650.1	279	115.738	0	0
SSTP_0000004700.1	3486	3312.63	1	0.00317055
SSTP_0000004800.1	1023	849.635	0	0
SSTP_0000004900.1	999	825.635	0	0
SSTP_0000005000.1	3180	3006.63	2	0.00698647
SSTP_0000005050.1	396	224.475	0	0
SSTP_0000005100.1	1782	1608.63	447	2.91849
SSTP_0000005200.1	294	129.141	0	0
SSTP_0000005225.1	393	221.61	1	0.0473936
SSTP_0000005250.1	255	95.065	0	0
SSTP_0000005275.1	288	123.735	0	0
SSTP_0000005300.1	243	85.0489	0	0
SSTP_0000005400.1	525	351.953	0	0
SSTP_0000005500.1	906	732.635	1	0.0143358
SSTP_0000005600.1	1515	1341.63	1	0.00782842
SSTP_0000005700.1	750	576.635	1	0.0182141
SSTP_0000005800.1	1335	1161.63	0	0
SSTP_0000005900.1	711	537.635	0	0
SSTP_0000006000.1	300	134.387	0	0
SSTP_0000006050.1	222	68.5445	1	0.153227
SSTP_0000006100.1	300	134.387	0	0
SSTP_0000006200.1	510	337.022	0	0
SSTP_0000006300.1	609	435.679	0	0
SSTP_0000006400.1	906	732.635	0	0
SSTP_0000006425.1	231	75.6099	0	0
SSTP_0000006500.1	957	783.635	14.7054	0.197093
SSTP_0000006600.1	60	19.6	27	14.4682
SSTP_0000006700.1	41	13.875	14	10.5975
SSTP_0000006800.1	342	173.023	65.3823	3.96886
SSTP_0000006900.1	675	501.635	0	0
SSTP_0000007000.1	2602	2428.63	8.12195	0.0351242
SSTP_0000007100.1	198	50.9385	216	44.5364
SSTP_0000007200.1	5263	5089.63	35.6759	0.0736201
SSTP_0000007300.1	201	53.2111	59	11.6455
SSTP_0000007400.1	1146	972.635	8821	95.2525
SSTP_0000007500.1	408	236.129	127	5.64889
SSTP_0000007600.1	1290	1116.63	1160	10.9108
SSTP_0000007700.1	546	372.916	9668	272.291
SSTP_0000007800.1	567	393.838	1063	28.3481
SSTP_0000007900.1	492	319.088	1177	38.7413
SSTP_0000008000.1	3756	3582.63	4895	14.3502
SSTP_0000008100.1	1701	1527.63	960	6.60024
SSTP_0000008200.1	1428	1254.63	3025	25.3231
SSTP_0000008300.1	282	118.331	106	9.40841
SSTP_0000008400.1	2142	1968.63	5366	28.6282
SSTP_0000008500.1	696	522.635	11253	226.14
SSTP_0000008600.1	780	606.635	382	6.6137
SSTP_0000008700.1	810	636.635	2578	42.5305
SSTP_0000008800.1	2457	2283.63	1993	9.16619
SSTP_0000008900.1	3666	3492.63	10355	31.139
SSTP_0000009000.1	4140	3966.63	5439	14.4014
SSTP_0000009100.1	3690	3516.63	11054	33.0142
SSTP_0000009200.1	2886	2712.63	4542	17.5859
SSTP_0000009300.1	1272	1098.63	1183	11.3094
SSTP_0000009400.1	678	504.635	1240	25.8079
SSTP_0000009500.1	1833	1659.63	844	5.34119
SSTP_0000009600.1	2445	2271.63	6714	31.0421
SSTP_0000009700.1	2058	1884.63	4547	25.34
SSTP_0000009800.1	672	498.635	1434	30.2047
SSTP_0000009900.1	3045	2871.63	6850	25.0536
SSTP_0000010000.1	1428	1254.63	5349	44.7779
SSTP_0000010100.1	1287	1113.63	2166	20.4279
SSTP_0000010200.1	1254	1080.63	6768	65.7794
SSTP_0000010300.1	2454	2280.63	9991	46.011
